City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nangong,37.3581,115.3744,36.19,51,13,2.57,CN,1676336040
1,mataura,-46.1927,168.8643,77.52,28,0,4.38,NZ,1676335842
2,onega,63.9061,38.1404,28.35,91,100,17.36,RU,1676336040
3,ushuaia,-54.8,-68.3,40.66,87,100,10.36,AR,1676335793
4,rikitea,-23.1203,-134.9692,79.45,68,100,5.77,PF,1676335767
5,raymond,43.9015,-70.4703,34.72,75,100,2.57,US,1676336041
6,cayenne,4.9333,-52.3333,75.24,94,100,2.3,GF,1676335881
7,maceio,-9.6658,-35.7353,76.44,88,0,5.75,BR,1676336041
8,upernavik,72.7868,-56.1549,-27.81,97,35,1.79,GL,1676335555
9,kapaa,22.0752,-159.319,80.58,76,0,17.27,US,1676335841
10,rosa zarate,0.3333,-79.4667,73.85,96,27,2.08,EC,1676336042
11,sitka,57.0531,-135.33,30.09,93,100,6.91,US,1676336043
12,cidreira,-30.1811,-50.2056,77.76,83,0,17.43,BR,1676335861
13,hilo,19.7297,-155.09,76.95,80,20,11.5,US,1676335795
14,chuy,-33.6971,-53.4616,79.45,73,99,3.96,UY,1676335962
15,matelandia,-25.2408,-53.9964,69.62,95,1,4.56,BR,1676335827
16,diego de almagro,-26.3667,-70.05,71.08,48,100,3.8,CL,1676336044
17,albany,42.6001,-73.9662,43.74,59,100,5.93,US,1676335662
18,cherskiy,68.75,161.3,-26.61,95,100,5.97,RU,1676335949
19,hobart,-42.8794,147.3294,70.27,51,20,10.36,AU,1676335489
20,mar del plata,-38.0023,-57.5575,71.62,64,0,4.61,AR,1676335834
21,castro,-24.7911,-50.0119,64.2,94,60,3.18,BR,1676335889
22,vysokogornyy,50.1167,139.15,0.27,79,66,4.63,RU,1676336045
23,san patricio,28.017,-97.5169,71.55,76,100,16.58,US,1676335915
24,kabinda,-6.1333,24.4833,67.64,94,100,2.15,CD,1676336046
25,punta arenas,-53.15,-70.9167,48.31,66,40,16.11,CL,1676335770
26,busselton,-33.65,115.3333,70.2,56,0,10.85,AU,1676335776
27,georgetown,5.4112,100.3354,80.53,94,20,5.75,MY,1676335985
28,morayfield,-27.1167,152.95,86.34,84,86,6.62,AU,1676335767
29,naron,43.5167,-8.1528,55.02,77,97,6.35,ES,1676335967
30,nyurba,63.2842,118.3319,-23.57,100,100,2.86,RU,1676336047
31,saint anthony,45.0205,-93.218,37.29,73,0,11.5,US,1676335860
32,yellowknife,62.456,-114.3525,-13.45,76,75,9.22,CA,1676335780
33,ishigaki,24.3448,124.1572,60.93,100,75,14.97,JP,1676336043
34,coquimbo,-29.9533,-71.3436,65.93,82,0,10.36,CL,1676335904
35,laguna,38.421,-121.4238,66.33,44,0,8.05,US,1676336048
36,kavieng,-2.5744,150.7967,83.62,69,79,2.13,PG,1676335840
37,norman wells,65.282,-126.8329,-11.16,77,100,17.27,CA,1676335777
38,avera,33.194,-82.5271,53.11,61,4,7.54,US,1676336019
39,khromtau,50.2503,58.4347,2.32,99,100,5.64,KZ,1676336049
40,cape town,-33.9258,18.4232,71.89,88,20,10.36,ZA,1676335825
41,arraial do cabo,-22.9661,-42.0278,76.96,88,75,1.14,BR,1676335710
42,tuatapere,-46.1333,167.6833,70.56,55,9,6.02,NZ,1676335815
43,thompson,55.7435,-97.8558,15.96,86,100,11.5,CA,1676335794
44,provideniya,64.3833,-173.3,-8.64,64,100,8.99,RU,1676335712
45,malakal,9.5334,31.6605,78.48,16,1,9.24,SS,1676336051
46,neiafu,-18.65,-173.9833,81.9,78,100,21.23,TO,1676336051
47,kruisfontein,-34.0033,24.7314,70.88,93,99,4.43,ZA,1676335960
48,lipin bor,60.2622,37.9763,28.74,95,100,7.34,RU,1676336052
49,kapoeta,4.7717,33.5903,81.23,21,8,11.48,SS,1676336054
50,nhulunbuy,-12.2333,136.7667,83.01,83,75,11.5,AU,1676336054
51,dukat,62.55,155.55,-19.41,96,100,6.38,RU,1676336055
52,lebu,-37.6167,-73.65,59.13,81,99,7.43,CL,1676336006
53,haines junction,60.7522,-137.5108,15.75,48,70,11.5,CA,1676335929
54,bredasdorp,-34.5322,20.0403,68.79,88,0,2.33,ZA,1676335918
55,otjimbingwe,-22.35,16.1333,74.01,33,18,2.44,NA,1676336055
56,bethel,41.3712,-73.414,49.8,53,40,0.0,US,1676335822
57,turukhansk,65.8167,87.9833,2.03,93,100,14.25,RU,1676336056
58,kabanjahe,3.1001,98.4908,64.87,89,100,0.63,ID,1676336056
59,hermanus,-34.4187,19.2345,68.81,91,0,5.1,ZA,1676335843
60,asyut,27.181,31.1837,48.38,63,3,9.26,EG,1676336057
61,talnakh,69.4865,88.3972,7.21,94,100,13.02,RU,1676335824
62,pasni,25.2631,63.471,69.55,54,0,6.89,PK,1676336058
63,sicamous,50.8331,-118.9856,40.17,86,99,1.72,CA,1676336059
64,nikolskoye,59.7035,30.7861,35.49,86,97,12.46,RU,1676335875
65,birao,10.2849,22.7882,74.19,17,0,10.71,CF,1676336059
66,adilcevaz,38.8039,42.7342,10.9,75,23,5.55,TR,1676336060
67,vila velha,-20.3297,-40.2925,78.75,86,0,10.36,BR,1676336060
68,dzhebariki-khaya,62.2167,135.8,-40.07,100,93,2.62,RU,1676336061
69,saint-philippe,-21.3585,55.7679,74.79,88,46,10.85,RE,1676335830
70,baruun-urt,46.6806,113.2792,-1.93,92,51,1.21,MN,1676336007
71,mahon,39.8885,4.2658,41.56,93,0,0.0,ES,1676336062
72,antsohihy,-14.8796,47.9875,71.91,93,100,1.9,MG,1676336062
73,tuktoyaktuk,69.4541,-133.0374,-14.8,76,75,14.97,CA,1676335851
74,fairbanks,64.8378,-147.7164,-0.18,76,75,0.0,US,1676335851
75,salta,-24.7859,-65.4117,74.57,75,75,12.66,AR,1676335837
76,tiksi,71.6872,128.8694,-23.53,96,100,3.51,RU,1676335873
77,new norfolk,-42.7826,147.0587,69.93,38,12,2.17,AU,1676335788
78,mitu,1.1983,-70.1733,73.35,91,92,2.04,CO,1676336064
79,rawson,-43.3002,-65.1023,63.07,33,56,30.02,AR,1676336065
80,porangatu,-13.4408,-49.1486,75.81,67,100,0.67,BR,1676336065
81,makat,47.6469,53.3463,26.42,96,100,9.69,KZ,1676336066
82,ostrovnoy,68.0531,39.5131,30.96,81,100,29.08,RU,1676336066
83,stillwater,36.1156,-97.0584,57.81,45,100,1.99,US,1676336067
84,ilulissat,69.2167,-51.1,-18.38,76,75,11.5,GL,1676335953
85,severo-kurilsk,50.6789,156.125,25.93,92,100,10.09,RU,1676335862
86,ponta do sol,32.6667,-17.1,62.71,68,71,3.09,PT,1676336067
87,gold coast,-28.0,153.4333,86.77,81,75,14.97,AU,1676336039
88,jamestown,42.097,-79.2353,38.84,67,0,13.8,US,1676335900
89,saldanha,-33.0117,17.9442,64.45,98,36,8.46,ZA,1676335803
90,los llanos de aridane,28.6585,-17.9182,56.95,63,0,3.44,ES,1676336069
91,kaeo,-35.1,173.7833,67.32,92,100,22.06,NZ,1676335815
92,christchurch,-43.5333,172.6333,68.2,60,75,17.27,NZ,1676335978
93,dikson,73.5069,80.5464,9.88,94,100,15.26,RU,1676336036
94,barrow,71.2906,-156.7887,-14.78,84,75,4.61,US,1676335819
95,salalah,17.0151,54.0924,68.09,77,0,4.61,OM,1676335779
96,jalu,29.0331,21.5482,53.15,56,85,6.17,LY,1676335809
97,bluff,-46.6,168.3333,64.76,64,7,8.43,NZ,1676335829
98,strezhevoy,60.7333,77.5889,3.36,95,100,8.63,RU,1676335922
99,khatanga,71.9667,102.5,10.22,93,100,14.09,RU,1676335766
100,ponta delgada,37.7333,-25.6667,52.52,66,20,5.75,PT,1676335750
101,prince rupert,54.3161,-130.3201,37.09,55,20,18.41,CA,1676335909
102,kununurra,-15.7667,128.7333,87.78,74,70,3.44,AU,1676336071
103,airai,-8.9266,125.4092,65.5,85,100,4.68,TL,1676336071
104,constitucion,-35.3333,-72.4167,58.23,75,0,17.07,CL,1676335557
105,naze,28.3667,129.4833,58.12,69,100,16.06,JP,1676336052
106,varzea grande,-15.6467,-56.1325,75.07,88,75,8.05,BR,1676336072
107,beringovskiy,63.05,179.3167,-10.52,84,100,9.64,RU,1676336073
108,antalaha,-14.9003,50.2788,71.94,91,100,5.84,MG,1676336073
109,lagoa,39.05,-27.9833,55.15,62,9,24.85,PT,1676335852
110,hithadhoo,-0.6,73.0833,79.9,70,28,5.93,MV,1676335963
111,el cope,8.6167,-80.6,66.58,91,18,8.93,PA,1676336074
112,hasaki,35.7333,140.8333,41.29,50,100,19.77,JP,1676335781
113,tarakan,3.3,117.6333,78.3,89,75,3.44,ID,1676336074
114,harper,4.375,-7.7169,80.6,86,11,7.02,LR,1676336075
115,inhambane,-23.865,35.3833,77.52,91,91,9.73,MZ,1676336075
116,kaitangata,-46.2817,169.8464,69.53,57,0,17.6,NZ,1676336062
117,carnarvon,-24.8667,113.6333,79.88,63,0,16.22,AU,1676335997
118,half moon bay,37.4636,-122.4286,60.57,69,20,33.38,US,1676335986
119,cururupu,-1.8283,-44.8683,75.45,95,100,3.31,BR,1676335996
120,avarua,-21.2078,-159.775,84.25,74,20,8.05,CK,1676335800
121,bambous virieux,-20.3428,57.7575,78.22,83,75,4.61,MU,1676335717
122,atuona,-9.8,-139.0333,79.72,76,8,19.01,PF,1676335778
123,monywa,22.1167,95.1333,65.77,43,0,6.53,MM,1676336077
124,fortuna,40.5982,-124.1573,50.34,72,100,19.57,US,1676335853
125,biak,-0.9131,122.8766,81.93,68,100,4.83,ID,1676336077
126,oneonta,42.4529,-75.0638,44.31,74,100,13.73,US,1676336076
127,livingston,55.9029,-3.5226,39.29,96,100,1.14,GB,1676336044
128,puerto ayora,-0.7393,-90.3518,79.56,90,26,1.99,EC,1676335554
129,isangel,-19.55,169.2667,81.88,57,10,9.28,VU,1676335939
130,hami,42.8,93.45,29.37,52,0,3.51,CN,1676336078
131,campo maior,-4.8278,-42.1686,77.49,80,100,2.1,BR,1676335882
132,saiha,22.4833,92.9667,50.45,51,0,3.71,IN,1676336079
133,aksha,50.2814,113.2867,1.85,90,43,2.77,RU,1676336079
134,necochea,-38.5473,-58.7368,64.78,82,0,5.86,AR,1676336080
135,russell,32.3502,-85.1999,60.4,50,0,3.44,US,1676335963
136,dossor,47.5272,52.9811,25.79,97,100,8.12,KZ,1676336080
137,pokrovka,42.3414,78.0056,20.34,65,48,7.67,KG,1676336080
138,yinchuan,38.4681,106.2731,20.97,53,68,2.1,CN,1676336081
139,venado tuerto,-33.7456,-61.9688,79.77,28,0,5.01,AR,1676336081
140,saint george,37.1041,-113.5841,57.79,31,0,17.27,US,1676335894
141,wanning,18.8003,110.3967,76.42,81,68,3.24,CN,1676336082
142,kirakira,-10.4544,161.9205,84.88,73,27,8.79,SB,1676336082
143,bengkulu,-3.8004,102.2655,76.86,79,66,4.12,ID,1676336022
144,mayor pablo lagerenza,-19.9309,-60.7718,85.14,55,8,8.75,PY,1676336083
145,vaini,-21.2,-175.2,80.76,94,100,8.05,TO,1676335825
146,homer,59.6425,-151.5483,21.07,64,40,3.44,US,1676335956
147,fort nelson,58.8053,-122.7002,2.79,76,75,5.75,CA,1676336083
148,quzhou,28.9594,118.8686,41.07,92,100,5.26,CN,1676336084
149,zhanaozen,43.3,52.8,25.38,79,31,19.51,KZ,1676335829
150,kaseda,31.4167,130.3167,50.97,58,100,12.5,JP,1676336084
151,codrington,-38.2667,141.9667,67.23,55,2,10.4,AU,1676335708
152,nouadhibou,20.931,-17.0347,64.38,94,20,4.61,MR,1676336084
153,vanimo,-2.6741,141.3028,82.49,82,47,4.29,PG,1676336085
154,sao goncalo,-22.8156,-43.0411,79.77,100,100,5.75,BR,1676335948
155,kermanshah,34.3142,47.065,25.7,68,20,0.0,IR,1676336085
156,bud,39.447,-86.1758,48.22,53,0,5.32,US,1676336086
157,grand forks,47.9417,-97.4337,33.78,87,100,8.95,US,1676335841
158,sao filipe,14.8961,-24.4956,70.92,78,23,8.46,CV,1676335643
159,makakilo city,21.3469,-158.0858,79.12,59,40,17.27,US,1676335826
160,inverbervie,56.8446,-2.28,41.43,87,0,12.8,GB,1676336086
161,buraydah,26.326,43.975,54.05,44,100,14.7,SA,1676335954
162,taseyevo,57.2169,94.8978,3.74,97,100,1.63,RU,1676336087
163,port alfred,-33.5906,26.891,72.18,97,12,3.0,ZA,1676335810
164,flin flon,54.7682,-101.865,26.44,86,75,5.75,CA,1676336065
165,axim,4.8699,-2.2405,79.39,89,85,8.1,GH,1676336088
166,kirando,-7.4167,30.6,72.16,82,100,5.44,TZ,1676336088
167,tahe,52.3333,124.7333,-6.29,69,0,3.18,CN,1676336088
168,tessalit,20.1986,1.0114,71.29,16,100,17.07,ML,1676336089
169,kempele,64.9131,25.5034,28.42,80,0,8.05,FI,1676336089
170,fethiye,36.6217,29.1164,40.87,55,2,7.78,TR,1676336089
171,geraldton,-28.7667,114.6,75.61,73,75,12.66,AU,1676335822
172,oxapampa,-10.5775,-75.4017,59.54,98,94,2.55,PE,1676335919
173,aklavik,68.2191,-135.0107,-20.2,76,75,2.3,CA,1676336090
174,bathsheba,13.2167,-59.5167,79.41,69,40,21.85,BB,1676335917
175,iqaluit,63.7506,-68.5145,-29.31,73,20,3.44,CA,1676335959
176,ribeira grande,38.5167,-28.7,54.77,73,100,7.0,PT,1676335788
177,yarmouth,41.7057,-70.2286,40.14,80,100,8.99,US,1676336090
178,tual,-5.6667,132.75,82.76,79,100,20.04,ID,1676336091
179,houma,29.5958,-90.7195,62.01,84,4,5.99,US,1676335855
180,tanout,14.9709,8.8879,64.78,24,94,15.43,NE,1676336091
181,bandarbeyla,9.4942,50.8122,73.09,77,6,8.97,SO,1676335923
182,bayan,46.0833,127.4,3.27,88,6,8.05,CN,1676336092
183,qaanaaq,77.484,-69.3632,-23.39,62,81,6.06,GL,1676336088
184,victoria,22.2855,114.1577,64.33,67,100,13.0,HK,1676335804
185,saint-pierre,-21.3393,55.4781,74.88,88,12,10.36,RE,1676336050
186,longyearbyen,78.2186,15.6401,15.64,79,20,16.11,SJ,1676335734
187,ocampo,21.65,-101.5,61.7,28,8,11.27,MX,1676336093
188,arambagh,22.8833,87.7833,55.83,26,0,4.12,IN,1676336093
189,mawlaik,23.6333,94.4167,57.45,42,0,1.36,MM,1676336094
190,kasongo-lunda,-6.4667,16.8167,69.22,94,100,1.12,CD,1676336094
191,mednogorsk,51.4128,57.595,9.97,97,100,4.43,RU,1676336094
192,morondava,-20.2833,44.2833,76.89,89,7,7.52,MG,1676336095
193,moree,-29.4667,149.85,87.12,41,1,11.01,AU,1676336095
194,yeppoon,-23.1333,150.7333,91.18,55,0,13.29,AU,1676336095
